Cluster 1,Ifi27l2a,Tgtp1,Ly6i,Tmprss7,Lsmem1,Fosb,Gem,H2-Q4,H2-Q5,H2-Q6,Dnajb13,Cebpd,Stat5a,Nr4a1,Gm12216,Nr4a3,Gm16486,H2-Q7,Nfkbiz,Gm45205,Tgfb3,Kcnj13,Irf1,Zfp36,Fos,Jun,Psd,Gm42735,Lhpp,Sp5,Tgm4,H2-Q10,Pde4c,Cachd1,Gm33248,Adamts1,Socs3,Rora,Trp53i11,Tob1,Lrp2bp,Cftr,Retnla,Epha7,Gm15478,Cth,Ppp1r10,Psmb9,Egr1,Dnajb4,Tinag,Irx3,Cecr2,Pi4k2b,Car2,Gpam,Azin2,Birc3,Atf3,Insig1,Spry1,Slc6a20a,Vnn1,Tap1,Dnajb9,Lyz1,Csrnp1,Mitf,Aldh1l1,Zfp131,C3,Ldlr,Irx1,Gdnf,Il33,Crnde,Mfsd2a,Gpx8,Rnf187,Psmb8,Abhd5,Slc10a6,Lpl,Sult1a1,Ier2,Cytip,Gm6166,Adora2b,H2-DMb2,Bex4,Itih4,2610028H24Rik,Lifr,Uvrag,Pnrc1,Acoxl,Matn4,Pgs1,Bscl2,Cyp4v3,Slc39a8,Megf9,Bst2,Slc26a4,B2m,Prrg3,Slc31a1,Ang,Mmp15,Gja1,AC127224.2,Aplp2,Rprm,Adk,Acot1,Irx2,Znrf3,Mme,Pycard,H2-K1,Grb14,Oat,Glipr2,Chsy1,Nfkbia,Kcne2,Trpm6,Gm11771,C6,Rasl11a,Tbc1d30,Stard8,Rab9,Enpep,Sema4f,Hmgcs1,Esam,Car8,Elfn1,Atp6v1c2,Ppp1r14c,Nrp1,H2-D1,Cd74,Abcd3,Foxo3,Afap1l1,Ubc,Mid1ip1,Dusp1,Sntb1,Gm20186,Pfkfb2,Pfkfb4,Txlng,Emb,Gadd45b,Prnp,Hacd3,Chia1,Add3,Plk2,Etv5,Hap1,Scarb2,Rilp,Ank3,Ogdh,Hmgcr,Gm45236,Eif4e3,Iah1,Oaz2,Anpep,Inpp4b,Sord,Cpm,Lrg1,Nav2,St6galnac2,Btg2,Ipo13,Usp8,Nkd1,BC005537,Ldhb,Lgi3,Entpd1,Idi1,Dcaf11,Sort1,Gde1,Ramp1,Ppp1r15a,Cbr2,Ift20,H2-Ab1,Amotl2,Acot2,Pde4d,Phlda1,Lamp3,Hnmt,Npr1,Prps2,Ddx5,Chchd10,Slc25a51,Ifrd1,Socs2,Atp8a1,Egfl6,Itga9,Tmem30a,Sec14l4,Ctsc,App,Chil1,Gt(ROSA)26Sor,Kcnj15,Tapbp,Epas1,Acly,Rbpjl,Ly6e,Rab3a,Stat3,Rsrp1,Anxa6,Sdc4,Nedd4l,H2-Aa,Trp53inp2,H2-Eb1,Mlc1,Cd36,Slc1a5,Errfi1,Rnaset2b,Plekhb1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster 2,Gm13449,AC133650.1,Prmt8,Vldlr,Npr2,AC157822.3,Snx25,Adcy7,AC135641.1,Acaca,Rn7s2,Secisbp2l,Kcnj2,Ccz1,Scd2,Gm44250,Cox6a2,S100g,Lrp2,Aox3,Nectin1,Ccpg1,Myo5c,Tspyl4,Fasn,Mettl7a1,D330041H03Rik,Yae1d1,Sfta2,Dcxr,Arhgap31,Gm43085,Adam19,Elovl1,Ccdc141,mt-Nd3,Atp11a,Hc,Slc34a2,Dock9,Slc24a4,Adgrf5,Lpcat1,Abca3,Tmem243,Prr15l,Arfgef3,Mob3b,Smarca2,Cxcl15,Alcam,mt-Nd2,Scp2,Gm28439,mt-Nd6,Npc1,Lrrk2,Soat1,Brd7,Acsl4,Zdhhc3,mt-Nd4,Tmem42,Lbp,Scd1,mt-Rnr1,Dram1,Sftpc,Npw,Tmem164,Sftpa1,mt-Atp6,Napsa,Igsf9b,Rnase4,Slco4c1,Sftpd,Tnfaip1,Dhrs3,Ptprf,Scp2-ps2,Lyz2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster 3,Map6,Gm43431,Gm29237,Akap5,Hck,Mrc2,Hopx,Mmp11,Scnn1g,Cdkl5,Rtkn2,Sema3a,Radil,Wfdc1,Sec14l3,Nrp2,Slco3a1,Col4a3,Scnn1b,Arhgef26,Col4a4,Tram2,Fam189a2,Kcnk2,Gm37087,Slc6a14,Ndst1,Mettl7a2,Nebl,Fgfr3,Cryab,Hs2st1,Qk,Swap70,Ifit2,Itpkb,Pitpnm3,Gm37752,Pias1,Rnf150,Airn,Gramd2,Arhgap45,Tppp3,Fbln5,Galnt18,Spats2l,Wwp1,Dapk2,Dpysl2,Samhd1,Zfp579,Serinc5,Tmod1,Serpinb9,Dag1,Sphk1,Foxn3,Timp3,Nedd9,Magi3,AC154734.2,Slc1a1,Smim3,Cyr61,Cldn18,Sparc,Rasgef1a,Limch1,Phactr1,Clic3,Samd4,Myct1,Mfsd7c,Hipk2,Nceh1,Pdpn,Celf2,Tgfb2,Nckap5,Shroom4,Arhgap35,Ssh2,Dennd3,Prep,AC154734.1,Arhgef17,Arid5b,Casz1,Stard3,Gm10080,Flrt3,Epb41l5,Kank2,Itgb6,Fermt2,Ager,Mcl1,Wwc1,Sptbn1,Crip2,Cttnbp2nl,Slc9a3r2,S1pr2,Ddx58,Fam168a,Myh14,Trim3,Prkci,Snx13,Myo1b,Magi1,Csrp1,Lama3,Pmp22,Cnn2,Clip4,Mpp7,Foxp2,Gprin3,Rassf2,Rasgef1b,Gsap,Traf1,Hspg2,Myo1e,Liph,Slc44a2,Gprc5a,Eva1b,Thbs3,Serpinb6b,Gm10722,Ptpn14,Akap13,Gm37376,9930012K11Rik,Arl4c,Fam174b,Trp53bp2,Emp2,Klhl24,Unc13d,Hdac7,Lmo7,Slc25a36,Gm11168,Cgn,Svil,Ndnf,Gm26870,Ssh1,Pcnt,Akap8l,Bcam,Aqp5,Clstn1,Malat1,Bmpr2,Clic5,Myl6,Rin2,Gm10717,Pkp2,Cd81,Icam1,Sema3e,Myl12a,Nsun4,Arhgap44,9930111J21Rik2,Cavin2,Scnn1a,Pdlim2,Npnt,Tfdp2,Laptm4a,Nkx2-1,Sema3b,Lhfp,Ece1,Sirt2,Zfp36l1,Gm21738,Gm10801,Tsc2,Ctnnd1,Cldn3,Gm10800,Stard13,Nectin2,4930523C07Rik,Il10rb,Agrn,Gm18588,Ajuba,Wls,Myl12b,Osbpl9,Piezo1,Vamp8,Hdac5,Anxa5,Jup,Col4a2,Tax1bp3,Ccnd3,Ano1,Osbpl5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster 4,Cd177,Tbc1d24,C5ar2,Ugt1a6b,Trpv6,St6galnac3,Pcdhgc3,Xdh,Ace2,Nod1,Szt2,Kcnc3,Tmx4,Atp13a4,Pisd-ps1,Slc25a37,Pcdhgc4,Akap7,Ciita,Aass,Itga7,Pros1,Mylk,Tspan11,Rbms3,Bex2,Rab27a,Gm11942,Lcn2,Zfp467,Tgoln1,Gm10073,Trf,Filip1,Slc15a2,H2-DMb1,St6galnac4,Snx29,Gm2a,Urah,H2-DMa,Cyp2f2,Cracr2a,Pla2g16,Inhbb,Slc7a4,Cox8a,AC149090.1,Ptgs1,Kif13a,Slc26a9,Vcpkmt,Tmem50b,Eif4a2,H2-T23,H6pd,Scamp1,Gm12505,Cebpa,Tnfsf13,Hsp90b1,Met,Pde7b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster 5,Slc4a11,Il23a,Rrad,Tnf,Abtb2,Lif,Tnfrsf11b,Tigit,Dusp10,Ntm,Trim15,Tm4sf1,Chac1,Creb5,5031415H12Rik,Cxcl1,Mcpt8,Trp53inp1,Abcg1,Mapk11,Klhl2,Il24,Zfand2a,Tspan5,Ddit3,Ascc3,Sgms2,Grpel2,Gdf15,Dennd2c,Ly6a,Slc9a4,Asns,Ets1,Ugcg,Gcnt2,Rnf19b,Pvt1,3110043O21Rik,Cln8,Hmces,Maff,Tnfaip3,Prkx,Tgfa,Pxdc1,Cdk17,Slc1a4,Arid5a,Cldn4,Iars,Ptgs2,Relb,Mxd1,Ppp1r13l,Btg1,Slc38a2,Sema7a,Smcr8,Cwh43,Aaed1,B930095G15Rik,Pvr,Fbxo30,Zdhhc5,Chrnb1,Rhbdf2,Fam50a,Cxcl16,Itga2,Hs3st1,Trib1,Tgif1,B3gnt2,Rdh10,Rhob,Gm28048,Chmp4c,Chic2,Klf6,Bcl10,2610035D17Rik,Gm10157,Cars,Bax,Agap1,Llph-ps2,Otud4,Prkca,AI413582,Procr,9930111J21Rik1,Fam83g,Ocln,1810013L24Rik,Otud7b,Actn1,Gtpbp4,Nars,Pik3c2a,Vps37b,Cdkn1a,Med13l,Mdm2,Trp53,Klc1,Cxadr,Sgpl1,Ptrh1,Arid3b,Sars,Btbd10,2900026A02Rik,Galnt3,Coq10b,Fgd6,Mafk,Ddit4,Mier1,Tsc22d2,Stam,Fdx1l,Hgs,Sbf2,Pdlim5,Fam96b,Itga3,Mpzl3,Wnt7b,Mob3a,Atp2b1,Slk,Map2k4,Ier3,Ets2,Erdr1,Slc7a1,Llph,Aff4,Kdm6b,Cdcp1,Ddx21,Utp14a,Irf6,Krt8-ps,Smndc1,Itgav,Tnfrsf23,Efna5,Ptbp3,Usp6nl,Kctd13,Malt1,Stk17b,Ptpn23,Rap2b,Lad1,Abt1,Nfkb2,Sertad2,Sh3d19,Tnfrsf10b,Nras,Wipf2,Ubr2,Cyth2,Ankrd12,Mapk6,Slc6a9,Cldn7,Trip10,Mnt,Tead1,Kif5b,Atf5,Cep120,Ccnl1,Esyt2,Rhbdf1,Gmeb1,Ppp4r3b,Prrg4,Ago2,Utrn,Atxn1,Gm7809,Poldip3,Gm42899,Src,Ahctf1,Areg,Tuft1,Zfp57,Pdpk1,Grk2,Atp6v0b,Cd2ap,Leprotl1,Flnb,Pip5k1a,Osbpl3,Mak16,Smim15,Fam69a,4931406P16Rik,BC016579,Spag9,Sh2d1b1,Ints12,Crtc2,Ercc1,Togaram1,Gm37401,Sqstm1,Cdc42ep1,Tmem184b,Rusc2,Cpsf7,Slc25a19,Psmd8,Rnf19a,St13,Ddx54,Rab1a,Syf2,Rbms1,Ube2b,Manba,Brd4,Appl1,Mafg,Kdm5c,Ammecr1l,Smox,Gm9892,Cdv3,Myc,Fbxw11,Serinc1,Mrpl38,Adm2,Samd5,Arhgap26,Fhl2,Brd2,Cdc42bpb,Fam13b,Apba3,Clu,Pdcd2,Mpp5,Tnip1,Ccdc22,Stx11,Rc3h1,Ggps1,Rabgef1,Heatr5a,Arpc5,Gm14253,Eif2s2,Tjp2,Tars,Eif1,Wasf2,Atf4,Rictor,St14,Krt23,Atp6ap2,Sfn,Krt18,Smg1,Rela,Fzd5,Pogk,Slc3a2,Ube2d3,Fosl2,2810403A07Rik,Tsg101-ps,AC160980.1,Cct2,Krt80,Ccng2,Kbtbd2,Comtd1,Tpd52l2,Txndc9,Gm13050,Trmt10c,Rab6a,Arl8a,March7,Actr2,Akirin1,Smg7,Mindy3,Eea1,Neat1,Zfp7,Pdcl3,Tnfrsf26,Lrrc8a,Gng5,Yars,Rhoa,Ctnna1,Vps35,Actg-ps1,Rasa2,Etf1,Eif5,Tnip3,Tnfrsf12a,Junb,Slc25a25,Rnf44,Krt8,Pwp2,Wnt7a,Aars,Dnajb6,Afdn,Hspa8,Vmp1,Klf7,Ezr,Tsg101,Hspa9,Atg101,Eif3g,Trib3,Eif3a,Chd1,Tmf1,Rab7,Nrbp1,Wdr36,Ghitm,Perp,Furin,Mat2a,2410006H16Rik,Tpm1,Cycs,Ubald2,Klf11,Wipi2,Eif6,Rabggtb,Fnbp1l,Sbno1,F11r,Prmt2,Pls3,Dusp16,Nfe2l1,Polk,Cltc,Npepps,Eef2,Hnrnpk,Ncoa2,Trappc4,Cdc42,Vps26a,Lasp1,Rack1,Dusp3,Plcd3,Pak1ip1,Rlim,Eif4g2,Naa15,Adgrl2,Cast,Tecpr1,Ubxn6,Eps15,Picalm,H3f3b,Dph3,Tcf20,Map3k20,Hsp90ab1,Tbrg1,Zfand5,Mea1,Stub1,Actb,Crb3,Anxa3,Lgals3,Epcam,Cct4,Gm6210,Ndrg1,Gm19680,Anxa7,Snrnp48,Hagh,Fam107b,Bcr,Frg1,Plscr1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster 6,Syt16,Hbb-bt,Cysrt1,Lrrc26,Alpi,Zfp991,Dpcr1,Hba-a1,Hba-a2,Slc45a3,Hbb-bs,Kremen2,Adm,Iyd,Fxyd4,Rn7sk,Ttc39a,Epgn,Cfap45,Gm44275,Fam83e,Pbp2,Aldh1a1,Gm5987,Ptger1,Lypd6b,AC154572.2,Ablim1,Gm6311,Tnfrsf1b,Rps2-ps13,Atrnl1,Gm44274,Phgr1,Dclk1,Kiss1r,Rps2-ps6,2500002B13Rik,Rfx2,Gstp2,Trim12c,Oas1g,Degs2,Pag1,Hsd17b11,Efhd2,Fam46c,AI661453,Atp2c2,Homer2,Gm6139,Mybpc2,Zfp974,Crybg3,Kcnq1,Rab17,Gda,Lipe,Klhl20,Arrb1,Celsr2,Ereg,B4gat1,Trove2,Pmaip1,Gale,Gm10179,Enpp4,B3gnt7,Gm15217,Nbl1,Gpt2,Eya1,Dgka,Jak3,Arrdc3,Thpo,Noct,Eva1c,Ldha-ps2,Mtus1,Dagla,Rhof,Pcsk6,Ccnc,Cep104,Mst1r,Tns4,Tpcn2,Gpat3,Ethe1,Adamtsl4,Gm5864,Gm37024,Syt8,Fxyd3,Unc45a,Itpripl2,Usp38,Ank1,Thbs1,Paqr8,Farp2,Bcl3,Svip,Mfn2,Armc9,Gm18180,Lipo3,Gm14760,Ly6d,B430010I23Rik,Cyld,Sytl2,Dyrk3,Cyp4b1,Rasef,Setbp1,Kdm4c,Gldc,Atf6,Enpp5,Pfkp,Gm44752,Rnf186,Pik3c2b,Psen2,Gm5786,Uhmk1,Gpr137,Dok4,Oas1a,Vps13a,Fhl1,Tpm2,Mbp,Tnni2,Spata13,Gm26809,Vamp3,Vsig10,Hspa1b,Nr2f2,Eml3,Slc23a3,Larp1b,Cracr2b,Ttll7,Gpd2,Slc35d1,B3gat3,Got1,Pof1b,Parp9,Mal2,Nsmaf,Gcnt4,Kcne3,Ttc7,Hk1,Zdhhc18,Usp25,Sorbs3,Prkacb,Oma1,Ogfod1,Pxk,Herc2,Metrnl,Sntb2,Tmem30b,Slc5a5,1700047I17Rik2,Sox13,Fem1a,Sh3bp4,Tmprss2,Ticam1,B3gnt3,Hps5,Zfp53,Hif1an,Lrp5,Rab27b,Ak3,Ankrd37,Lnx1,Msra,Cbarp,Mgat5,Borcs8,Rubcn,Eloa,Ttc39b,Cnst,Plekha7,Mlph,Sh2b3,Osmr,Stat1,Wdr11,Med25,Acer3,Gm2606,Gsto1,Ero1l,Qsox1,Lrba,Ifnlr1,Rundc1,Efcab14,Sh3rf2,Shtn1,Pcolce,Paqr4,Gm37949,Pomgnt1,Spire2,Usp24,Plxna2,Celsr1,Rnf40,Kctd14,Lmtk2,Ostm1,Uevld,Serinc2,Map3k11,Uggt1,Cog7,Ikzf5,Sphk2,Man2a2,Ppp1r12b,Gjb5,Tnfrsf21,Mark2,Rbl2,Gm43011,Coro2a,Prr14,Xlr3a,Ripk4,Cyp2s1,Gm15487,Ocel1,Atg9a,Clcn3,Fam25c,Eef2k,Lcor,Rab4b,Il4ra,Gm11814,Rnpepl1,Bcat2,Gpatch2,Hectd3,Btaf1,Atp10d,Ablim3,Ppp1r12c,Far1,Ell,Gm38244,Lrch4,Tnrc18,Ptprj,Trim8,Cavin3,Ceacam1,Irf9,Igf2r,Kpna1,Acadsb,Pcx,Dyrk1b,Megf6,Srcap,Gm5507,Cpne3,2210011C24Rik,Usf3,Agtrap,Pkp3,Tmem2,Tmem238,Rnf141,Rhog,Fam160a2,Nhlrc2,Atp6v1a,Sipa1l3,Gm12671,Rpl9-ps4,Epn1,Tmem126a,Fut2,Nek7,C130074G19Rik,Adamtsl5,Cyfip1,Cr1l,Hddc3,Mecom,Micu1,Pitpnm1,Ldha,Nupl1,Gm5526,B230216N24Rik,9330162G02Rik,Samd9l,Cx3cl1,Sigirr,AI314180,Sdccag8,Gtf3c1,Adrb2,Arhgap32,Hspa4l,Irs1,Atg3,Coa5,Mtmr9,Dopey2,Cd55,Lman2l,Ppp1r15b,Il18rap,Stk11ip,Lacc1,Mvp,Ints4,Hid1,Mthfr,Senp2,Ostf1,Tbc1d15,Trappc2l,Usp47,Sik1,Slc37a1,Phf11d,Spcs3,Endod1,Hacd2,Rps2-ps10,Dock1,Myo1d,AA467197,Ralbp1,Lurap1l,Arhgap40,Rab3gap1,Nr1h2,Snx15,Appl2,Lbhd1,Nabp1,Slc15a4,Rhobtb2,Cc2d1b,Fbrs,Nars2,Elmo3,Acsl1,Bcar3,Rraga,Fndc3a,Sgms1,Zc2hc1a,Ankzf1,Sft2d2,Dubr,Kmt2b,Tns1,Vps13d,Tbc1d2,Plcb3,Adam9,Synj1,Wwp2,Stim2,Shc1,Stim1,Lamtor3,Vps33b,Slc9a1,Gm28043,Fat1,Eps8l1,Dnajc14,AC117226.2,Ifngr2,Rfk,Akt2,Pgap1,Cnksr1,Elf3,Gm6768,Aldoart1,Gk,Rab25,Arpin,Hspa1a,Med15,Abhd17c,Tubgcp5,Atl2,Ccdc85b,Apbb1,Nagpa,Tm6sf2,Slc4a3,Gm5276,Parva,Nab1,Klhl21,Pam,Myadm,Anxa11,Tomm40l,Bbip1,Twsg1,Lnpep,Slmap,Mia3,Fam20b,Dnajc3,Eya3,Atoh8,Plekhf1,Slc35f5,Gm12537,Naaa,Gm4575,Esco1,Pwwp2b,Nadk,Alg1,Kmt2e,Ptpn13,Klc4,Tor3a,C1galt1,Zc3h7a,Tm2d2,Crybg1,5730559C18Rik,Plekhb2,Rnf31,Vps4b,Gprc5b,Epha4,Zfp110,Nt5e,Abcb10,Exoc8,Gm4366,Tor4a,Slc25a44,Mta2,Tanc1,Sh3bgrl2,Esrp2,Sh2d4a,Tjp1,Clip1,Eogt,Mbnl1,Cib1,Wsb2,Dnajb14,Tlr4,Cdc42bpa,Dock5,Gm5884,Zfp617,Cdc37l1,Rpl30-ps9,Tmem168,Inppl1,Hcfc1r1,Smpd3,Tmc4,Fadd,Slc2a1,Kdf1,Dedd,Patj,Phf24,Cradd,Pak2,Fam45a,Tmem167b,Ffar4,Zyx,Gstp-ps,Tfcp2l1
Cluster 7,Neil3,Knl1,Aurkb,Hist2h3b,Pbk,Nusap1,Pclaf,Ska1,Eme1,Oip5,Esco2,Ankle1,Melk,Mis18bp1,Gen1,Rrm2,Rad51ap1,Mxd3,Gm15428,Top2a,Exo1,Efcab11,Brca1,Cdca2,Hist1h3b,Fignl1,Shcbp1,C330021F23Rik,Sgo1,Pole,Birc5,Gtse1,Cenpk,Troap,Hmmr,Ckap2l,Ccna2,Kntc1,Depdc1a,Ncapg,Cenpe,Clspn,Traip,Brip1,Ticrr,Mns1,Kif11,Bub1,Mybl2,Spag5,Hist2h3c2,Rad51,Nsl1,Cdc6,Kif20b,Plk4,Aunip,Fbxo5,Kif4,Kif2c,Ercc6l,Lockd,Cenpm,Parpbp,Plk1,2700099C18Rik,Cdca8,Dtl,Kif20a,Dscc1,Nuf2,Nek2,Spc24,Ccnb1,Iqgap3,Hist1h2ak,Slfn9,Ckap2,Arhgef39,Ccnf,Zfp473,Kifc5b,Cdc25c,Ncapg2,Cdc7,Gas2l3,Mcm8,Aspm,Lrr1,Xkr5,Cep128,Dna2,Cdca3,Polq,Ttk,Fam83d,Cdk1,Nmral1,Sapcd2,Hist1h2af,Mcm10,Tpx2,Mki67,Dlgap5,Spc25,Anln,Kif14,Cenpu,Ube2c,Kif18b,Ccne1,Cenpw,E2f7,Cenpn,Hist1h1b,E2f8,Cdca5,C330027C09Rik,Gm13237,Timeless,Cit,Ddias,Kif15,Ska3,Tacc3,Kifc1,Ccne2,Bub1b,Pif1,Bard1,Aurka,Ndc80,Fancd2,Cenpf,Hist1h2ao,Cenpi,Cenpp,Racgap1,Pole2,Sgo2a,Hist1h3i,Ube2t,Ncapd2,Cenpa,Hist1h3c,Ccnb2,Rad54l,Gins1,CT030166.6,2810429I04Rik,Mastl,Tcf19,Ccnb1-ps,Cdc20,Atad2,Gm10182,Hist1h2ab,Palb2,Stil,Gm42893,Gm42047,Incenp,Chek1,Atad5,Psrc1,Orc1,Gmnn,Prr11,Skp2,Omd,Dbf4,Prim1,BC055324,Hmgn2-ps1,Ect2,Ulbp1,4933404O12Rik,Gm44521,Wdr62,Recql4,Pimreg,Knstrn,Gins3,Wdhd1,Cep55,Nup210,Hist1h2ap,Kif22,Brca2,Haus5,Espl1,Fanca,Nrm,Blm,Prc1,Psmc3ip,Asf1b,Hist1h3f,AC139754.2,Tube1,Haspin,Sass6,Csrp2,Snord17,Galntl6,Rmi2,Gm12856,Fanci,Ncaph,Kif18a,2610318N02Rik,Rad54b,Gm7390,Zwilch,Cdkn3,Mcm5,Tbc1d31,Arhgap19,Trip13,Bora,Pask,Hist1h1e,Cep135,1700066B19Rik,Chtf18,Rad51c,Cenpj,Tk1,Foxm1,Cdca7l,Cenph,Wdr86,Uhrf1,Rfc5,Eldr,Xrcc2,Dnph1,Gm11223,Kif24,Apitd1,Hist1h4i,Cenpq,Cep57l1,Cntd1,Ska2,Ccdc85c,Smc2,Syce2,Ncapd3,Terf1,Gm15452,Ccdc18,Lig1,Qrsl1,Rfc4,AC099934.7,Zfp808,Bcl11b,Cdc45,Tyms,Lin9,Mms22l,Hist1h4d,Tex9,Gm35315,Kbtbd6,Hirip3,Trim59,Hells,Chaf1b,Ccdc138,Itgb3bp,Fam111a,Phf19,G2e3,Ndc1,AC153546.1,Pkmyt1,Chaf1a,Eri2,Rtn4ip1,Plch1,Mcm3,Cnga1,Pcna-ps2,Zfp101,Pold1,H2afx,Dhrs13,Zfp41,Spdl1,Hmgb1-ps7,Cep192,Ttf2,4930427A07Rik,4930579G24Rik,Zgrf1,Rbl1,Recql,Wdr76,Tdp1,Mad2l1,Ezh2,Gm5518,Chd3os,Dhfr,Cdh24,Lmnb2,Slc22a1,Arhgap11a,Nemp1,Gemin6,Mrnip,AC099934.3,Zfp958,Gm10074,Rnaseh2b,E2f3,Gm42031,Fancb,Tmpo,Dnaaf2,Gpr19,Mutyh,Zfp13,D130017N08Rik,Dsn1,Ttr,Helq,Fam26f,Rdh11,Fen1,Fgf9,Mtbp,Oscp1,Pidd1,Enkd1,CT030173.1,Nup37,Pms2,Mbd4,Zranb3,Mdc1,Usp1,Pmf1,Rrm1,Tnfrsf18,Pola1,Nup43,Slc38a1,Anapc15,Ccdc77,Ankrd26,Cep112,Wdr31,Hist1h2bg,Hmgb2,Mphosph9,Zswim3,Dnajc9,Gm26563,Gm5648,Dnmt1,Rtel1,Pola2,Rpa2,Chn2,Nt5dc2,Gm4767,Mis18a,Slc7a9,Zcwpw1,Sars2,Pkdcc,Cenpl,Poc1a,Siah1b,Morn4,Zfp763,Cep76,Cdt1,Nasp,Topbp1,Mcm2,Srbd1,Cntrob,Neurl1b,Rpusd2,Gm26880,Tfdp1,Nbn,1700049E15Rik,Umps,Lmnb1,Faap24,Ccdc14,Mcm6,Ckap5,Alg8,Wdr90,Dars2,Cep295,Cmss1,Kdm8,Mtrf1,Tm4sf20,Gm5853,Sgk3,Diaph3,Nsd2,Gm11914,Mmachc,Gcat,Sco1,Npm3,Nup35,Haus3,Tmem107,Rnf219,Ipp,Fbxo45,Abhd10,Dcp2,Mis12,Trmt5,Msh6,Mnd1,Mtfp1,Nup107,Rbbp8,Mre11a,Dck,Dffb,Gm9826,Vrk1,Platr25,Qsox2,Gkn3,Cep152,Kif23,Pms1,Zfp367,Fancm,Prom1,Mgme1,Tmem186,Mia,Smc4,Nup160,Bcl7a,Dph5,Exosc2,Smc6,Xrcc3,Inip,Rrp1b,2310022A10Rik,Rif1,Cdk5rap1,Zc3hav1l,Nup205,Mindy4,Hmgb1-ps2,Hat1,Slf1,Ckap4,Cc2d2a,Mdk,Fzd2,Larp7,Ung,Cks2,Ddx11,Sfmbt1,Ube2s,Ppp1r1b,Kdelc1,Acer2,Tmem253,Tubb4b-ps1,Mcm7,Dusp19,Tmem97,Dclre1a,Urb2,Ndufaf6,Fam185a,9430015G10Rik,Smchd1,Gm10184,Utp23,Gm20604,Stmn1,Wdr35,Cyp4f40,Kpna2,Irak1bp1,Nudcd2,Nup85,Gm1866
