PancreasPlasticBurdziak
gene
SLCO2B1
BEND5
SLCO5A1
SLC24A2
AGBL4
PLXDC2
COL6A5
LEMD1
EBF1
PIEZO2
RANBP17
SLCO3A1
SPEF2
DSCAM
GSTT4
LRRK2
PIK3IP1
ADRA1B
ISL1
GDF10
CLVS1
FEZ1
TRIM11
CAMTA1
NKAIN1
SYT14
PAMR1
ATP2B4
RGS6
FAM13C
KLK6
SERPINA3G
TNC
RNF165
CDK5R2
ZBTB17
CHST11
CSTB
FAM217B
S1PR2
PLET1
PCDH7
AGXT
TNNI3K
SEPT9
PPP1R3D
AMPD3
SAPCD1
ST14
GM21269
MAPK13
TMOD1
ADCY1
OLFML1
LMO1
RTN1
SLC22A21
NEURL1A
DAAM2
KIF17
SH3BGRL2
POU2F3
LHX9
TUBB2B
MEGF10
IGLON5
ZFP365
MSANTD3
SFRP2
INPP5B
ARNT2
PANX1
RSPO4
FN1
CAMSAP2
ARMC9
PITX2
GLIPR2
NKAIN3
MICAL1
TUBB6
BC051142
NOX4
TMEM35A
LRP8
DGKE
NTRK2
TAC1
POU4F1
KCNA6
PKP1
MMP20
CDCP1
NPTX1
HDX
SLC2A10
AFF3
LOXL1
KCNAB2
BPTF
COL16A1
FZD10
ESRRG
ARAP1
CDH26
CLSTN2
IGSF9B
SH2D5
GAREM2
MYOCD
TPSAB1
KANK4
PRSS46
TBC1D10A
MYCL
SERPINA3I
PDE8A
TCFL5
NPTX2
RNF144A
SVOP
SALL1
LRRC32
FAM196A
GM2115
BRPF3
PGS1
DOCK10
LRRC2
B3GNT7
SIX2
GRIP1
EFHD2
TNXB
ISL2
ENDOD1
C130073F10RIK
DNTT
ALOX5AP
PRKCA
SMYD4
SLC35F4
SIGLECG
THY1
SLC43A3
CXCL13
ZMAT4
SEMA4D
GUCY1B2
ADAMTSL3
TRABD2B
PMAIP1
PTPRZ1
EPHA4
SP100
TMEM52
TECTA
PAX2
CEP112
TADA2A
KCNMA1
LRRN2
NECTIN4
MTHFD1L
SULT5A1
GNG2
IL18RAP
ARAP3
SLC24A3
RNF220
DUSP22
ANKRD6
UQCC2
MSX3
RAB15
TRPM2
MPO
WFDC8
GADL1
ANO10
FAM19A5
FNDC10
FAXC
OPTC
GLI2
SP6
PAPPA
DPPA2
P2RY6
SYNDIG1
TRP53I11
GULP1
HGF
METTL24
OSBP2
IGFBP4
TMPRSS13
IL24
PKIB
KCNB1
PCDH9
TREM1
SYNPR
NOG
RGS1
P2RX2
IAPP
GATA2
