AT2-like,AT1-like,HPSC,Endoderm-like,Ribosomal,EMT,Adv
,,,Ccnb2,,,
Gt(ROSA)26Sor,,,Vsig10l,,,
,,,Unc13c,,,
Kcnj15,,,Rad54l,,,
,,,Aldh4a1,,,
Tapbp,,,Fam3a,,,
,,,Gins1,,,
Epas1,,,Spaar,,,
,,,Chdh,,,
Acly,,,CT030166.6,,,
,,,Shprh,,,
Rbpjl,,,Srxn1,,,
,,,2810429I04Rik,,,
Ly6e,,,Rnf167,,,
,,,Klhdc8a,,,
Rab3a,,,Mastl,,,
,,,Rerg,,,
Stat3,,,Plekhh1,,,
,,,Tcf19,,,
Rsrp1,,,Marcksl1-ps4,,,
,,,Cacna1h,,,
Anxa6,,,Ccnb1-ps,,,
,,,Amigo3,,,
Sdc4,,,Ero1lb,,,
,,,Cdc20,,,
Nedd4l,,,Stx19,,,
,,,Eif2s3y,,,
H2-Aa,,,Atad2,,,
,,,Ubn2,,,
Trp53inp2,,,Crct1,,,
,,,Gm10182,,,
H2-Eb1,,,Fam178b,,,
,,,Atg4a-ps,,,
Mlc1,,,Hist1h2ab,,,
,,,Pex13,,,
Cd36,,,Taz,,,
,,,Palb2,,,
Slc1a5,,,Rsph3b,,,
,,,Agfg2,,,
Errfi1,,,Stil,,,
,,,Ing4,,,
Rnaset2b,,,Gm37422,,,
,,,Gm42893,,,
Plekhb1,,,Rapgef5,,,
,,,Mycbp2,,,
,,,Gm42047,,,
,,,Ggcx,,,
,,,Spns2,,,
,,,Incenp,,,
,,,Phf21a,,,
,,,Chmp7,,,
,,,Chek1,,,
,,,Arid4b,,,
,,,Mpzl2,,,
,,,Atad5,,,
,,,Slc46a1,,,
,,,Cmbl,,,
,,,Psrc1,,,
,,,Ttc3,,,
,,,G6pdx,,,
,,,Orc1,,,
,,,Zfyve1,,,
,,,Amd2,,,
,,,Gmnn,,,
,,,Prss8,,,
,,,Jade3,,,
,,,Prr11,,,
,,,Ugp2,,,
,,,Shroom2,,,
,,,Skp2,,,
,,,Kmt2d,,,
,,,Sh3tc1,,,
,,,Omd,,,
,,,Cat,,,
,,,Ddah1,,,
,,,Dbf4,,,
,,,Uhrf1bp1l,,,
,,,Atg10,,,
,,,Prim1,,,
,,,Lztr1,,,
,,,C230014O12Rik,,,
,,,BC055324,,,
,,,Gas6,,,
,,,2610306M01Rik,,,
,,,Hmgn2-ps1,,,
,,,Ep300,,,
,,,Slc35e3,,,
,,,Ect2,,,
,,,Usp40,,,
,,,Akt3,,,
,,,Ulbp1,,,
,,,Adam22,,,
,,,Slc35g2,,,
,,,4933404O12Rik,,,
,,,Fam84b,,,
,,,Clptm1l,,,
,,,Gm44521,,,
,,,Tspyl1,,,
,,,Aldh3b1,,,
,,,Wdr62,,,
,,,Gm45062,,,
,,,Nudt16,,,
,,,Recql4,,,
,,,Stx17,,,
,,,Ankrd13d,,,
,,,Pimreg,,,
,,,Mbd6,,,
,,,Firre,,,
,,,Knstrn,,,
,,,Ift140,,,
,,,Irak3,,,
,,,Gins3,,,
,,,Cul9,,,
,,,Tbce,,,
,,,Wdhd1,,,
,,,Pdk2,,,
,,,Fbxl4,,,
,,,Cep55,,,
,,,Yipf2,,,
,,,Paqr5,,,
,,,Nup210,,,
,,,Thap2,,,
,,,Dcaf4,,,
,,,Hist1h2ap,,,
,,,Amacr,,,
,,,Acbd4,,,
,,,Kif22,,,
,,,Slc2a4rg-ps,,,
,,,Il17rd,,,
,,,Brca2,,,
,,,4833420G17Rik,,,
,,,Anxa9,,,
,,,Haus5,,,
,,,Gm43637,,,
,,,Gm13420,,,
,,,Espl1,,,
,,,Pdrg1,,,
,,,Zfp787,,,
,,,Fanca,,,
,,,Tprn,,,
,,,Zfp185,,,
,,,Nrm,,,
,,,Ddah2,,,
,,,Ofd1,,,
,,,Blm,,,
,,,Cited2,,,
,,,Pkhd1,,,
,,,Prc1,,,
,,,Rrnad1,,,
,,,Igfals,,,
,,,Psmc3ip,,,
,,,5830417I10Rik,,,
,,,Smtnl2,,,
,,,Asf1b,,,
,,,Zfp704,,,
,,,Tmem55b,,,
,,,Hist1h3f,,,
,,,Tst,,,
,,,Slc31a2,,,
,,,AC139754.2,,,
,,,Apob,,,
,,,Pcsk7,,,
,,,Tube1,,,
,,,Pde4dip,,,
,,,Gstm6,,,
,,,Haspin,,,
,,,Kdm2b,,,
,,,Raet1e,,,
,,,Sass6,,,
,,,Smpdl3a,,,
,,,Atg7,,,
,,,Csrp2,,,
,,,Pla2g1b,,,
,,,Dock6,,,
,,,Snord17,,,
,,,Zfp398,,,
,,,Cldn6,,,
,,,Galntl6,,,
,,,Akr1c19,,,
,,,Plau,,,
,,,Rmi2,,,
,,,Fam13a,,,
,,,Htatip2,,,
,,,Gm12856,,,
,,,Lrrc14,,,
,,,Ice1,,,
,,,Fanci,,,
,,,Trim44,,,
,,,Madd,,,
,,,Ncaph,,,
,,,Sfi1,,,
,,,Gm15706,,,
,,,Kif18a,,,
,,,Trmt1,,,
,,,Gstm7,,,
,,,2610318N02Rik,,,
,,,Slc44a3,,,
,,,Pde4b,,,
,,,Rad54b,,,
,,,Rpap2,,,
,,,Crybg2,,,
,,,Gm7390,,,
,,,Rmdn2,,,
,,,Bicdl2,,,
,,,Zwilch,,,
,,,Plekha5,,,
,,,Phka2,,,
,,,Cdkn3,,,
,,,Kcnq1ot1,,,
,,,Dhx40,,,
,,,Mcm5,,,
,,,Zscan26,,,
,,,Chic1,,,
,,,Tbc1d31,,,
,,,Dpp4,,,
,,,Gpalpp1,,,
,,,Arhgap19,,,
,,,Tm7sf3,,,
,,,Tmem117,,,
,,,Trip13,,,
,,,Jmjd1c,,,
,,,Sdr42e1,,,
,,,Bora,,,
,,,Tet3,,,
,,,Dusp7,,,
,,,Pask,,,
,,,Mocs1,,,
,,,5730480H06Rik,,,
,,,Hist1h1e,,,
,,,Tspan12,,,
,,,Tbc1d7,,,
,,,Cep135,,,
,,,Atat1,,,
,,,Ralgps2,,,
,,,1700066B19Rik,,,
,,,Mapkbp1,,,
,,,Kank3,,,
,,,Chtf18,,,
,,,Ccdc125,,,
,,,Dhrs1,,,
,,,Rad51c,,,
,,,Alb,,,
,,,Sytl5,,,
,,,Cenpj,,,
,,,Slc23a1,,,
,,,Tmem203,,,
,,,Tk1,,,
,,,Apoe,,,
,,,Gja3,,,
,,,Foxm1,,,
,,,Mertk,,,
,,,Rnf123,,,
,,,Cdca7l,,,
,,,Il4i1,,,
,,,Slc17a5,,,
,,,Cenph,,,
,,,Lce3f,,,
,,,Xrn1,,,
,,,Wdr86,,,
,,,Chd9,,,
,,,Entpd4b,,,
,,,Uhrf1,,,
,,,Bcl2a1b,,,
,,,Ormdl3,,,
,,,Rfc5,,,
,,,Trrap,,,
,,,Zfp622,,,
,,,Eldr,,,
,,,Tmem131l,,,
,,,Gmds,,,
,,,Xrcc2,,,
,,,Hadh,,,
,,,Pithd1,,,
,,,Dnph1,,,
,,,Sfxn2,,,
,,,Ttll10,,,
,,,Gm11223,,,
,,,Meg3,,,
,,,Ddx51,,,
,,,Kif24,,,
,,,Uckl1,,,
,,,Bin3,,,
,,,Apitd1,,,
,,,Hpn,,,
,,,Ptcd1,,,
,,,Hist1h4i,,,
,,,Dgat2,,,
,,,Cyp2j6,,,
,,,Cenpq,,,
,,,Glcci1,,,
,,,Ccnd2,,,
,,,Cep57l1,,,
,,,Surf2,,,
,,,Smagp,,,
,,,Cntd1,,,
,,,Zfp950,,,
,,,Mettl27,,,
,,,Ska2,,,
,,,Selenop,,,
,,,Pnp,,,
,,,Ccdc85c,,,
,,,Zmym6,,,
,,,Akna,,,
,,,Smc2,,,
,,,Polr3gl,,,
,,,Mir22hg,,,
,,,Syce2,,,
,,,Thsd1,,,
,,,Ahr,,,
,,,Ncapd3,,,
,,,Gstm1,,,
,,,Ly6g6c,,,
,,,Terf1,,,
,,,Spcs2,,,
,,,Stambp,,,
,,,Gm15452,,,
,,,Zfp652,,,
,,,Nek8,,,
,,,Ccdc18,,,
,,,Echdc2,,,
,,,8430408G22Rik,,,
,,,Lig1,,,
,,,Mettl17,,,
,,,Cda,,,
,,,Qrsl1,,,
,,,Mbd5,,,
,,,Psd4,,,
,,,Rfc4,,,
,,,Pdcd4,,,
,,,Lrrc61,,,
,,,AC099934.7,,,
,,,1810043G02Rik,,,
,,,Abcc3,,,
,,,Zfp808,,,
,,,Cacfd1,,,
,,,Abhd4,,,
,,,Bcl11b,,,
,,,Rorc,,,
,,,Slc30a5,,,
,,,Cdc45,,,
,,,Atf7,,,
,,,Zfp316,,,
,,,Tyms,,,
,,,Plcg1,,,
,,,Vstm5,,,
,,,Lin9,,,
,,,Gaa,,,
,,,2210016F16Rik,,,
,,,Mms22l,,,
,,,Gys1,,,
,,,Tmem139,,,
,,,Hist1h4d,,,
,,,Pyurf,,,
,,,Entpd4,,,
,,,Tex9,,,
,,,Tle2,,,
,,,Lyst,,,
,,,Gm35315,,,
,,,Tm9sf4,,,
,,,Gm16867,,,
,,,Kbtbd6,,,
,,,Rabgap1l,,,
,,,Micu2,,,
,,,Hirip3,,,
,,,Slc18b1,,,
,,,Card19,,,
,,,Trim59,,,
,,,Smyd3,,,
,,,Gkn2,,,
,,,Hells,,,
,,,Vipr2,,,
,,,Amdhd2,,,
,,,Chaf1b,,,
,,,Hdhd3,,,
,,,Hyi,,,
,,,Ccdc138,,,
,,,Gstt3,,,
,,,Porcn,,,
,,,Itgb3bp,,,
,,,Klhl3,,,
,,,Tubb2b,,,
,,,Fam111a,,,
,,,Supt20,,,
,,,Mtif3,,,
,,,Phf19,,,
,,,Gm37549,,,
,,,AC154176.1,,,
,,,G2e3,,,
,,,Etfrf1,,,
,,,Cmtm4,,,
,,,Ndc1,,,
,,,Sharpin,,,
,,,Tgm1,,,
,,,AC153546.1,,,
,,,Etv1,,,
,,,Ephx2,,,
,,,Pkmyt1,,,
,,,Elmo1,,,
,,,2010107G23Rik,,,
,,,Chaf1a,,,
,,,Nucb2,,,
,,,Hgsnat,,,
,,,Eri2,,,
,,,Acaa2,,,
,,,Mboat1,,,
,,,Rtn4ip1,,,
,,,Gm44187,,,
,,,Mfsd13a,,,
,,,Plch1,,,
,,,Rbm26,,,
,,,Hif3a,,,
,,,Mcm3,,,
,,,Trim46,,,
,,,Srd5a1,,,
,,,Cnga1,,,
,,,Scgb3a2,,,
,,,Lrrfip2,,,
,,,Pcna-ps2,,,
,,,Gas5,,,
,,,Ckb,,,
,,,Zfp101,,,
,,,Pgpep1,,,
,,,Trex2,,,
,,,Pold1,,,
,,,Tmem263,,,
,,,Thap3,,,
,,,H2afx,,,
,,,Rabgap1,,,
,,,Fbxl3,,,
,,,Dhrs13,,,
,,,Nrep,,,
,,,Cgnl1,,,
,,,Zfp41,,,
,,,Gm37969,,,
,,,Nbeal2,,,
,,,Spdl1,,,
,,,Gm43481,,,
,,,Lrrn1,,,
,,,Hmgb1-ps7,,,
,,,Nelfb,,,
,,,Brap,,,
,,,Cep192,,,
,,,Prpf40b,,,
,,,Cirbp,,,
,,,Ttf2,,,
,,,Ap1g2,,,
,,,Slc12a7,,,
,,,4930427A07Rik,,,
,,,Rdx,,,
,,,2810408A11Rik,,,
,,,4930579G24Rik,,,
,,,D630045J12Rik,,,
,,,Abcd4,,,
,,,Zgrf1,,,
,,,Grcc10,,,
,,,Sdccag3,,,
,,,Rbl1,,,
,,,Med12,,,
,,,Mapk8,,,
,,,Recql,,,
,,,2610005L07Rik,,,
,,,Fbxo31,,,
,,,Wdr76,,,
,,,Acin1,,,
,,,Snx18,,,
