AT2-like,AT1-like,HPSC,Endoderm-like,Ribosomal,EMT,Adv
Socs3,Myct1,Tgif1,Hist1h3b,Rpl19-ps1,Fst,Pygl
Atp11a,Mfsd7c,B3gnt2,A530020G20Rik,Gm11478,Efcc1,Mtus2
Rora,Hipk2,Rdh10,Zan,Gm9294,Cacna2d1,Notch3
Hc,Nceh1,Rhob,Fignl1,Rpl18-ps1,Pilrb1,Micall1
Trp53i11,Pdpn,Gm28048,AC124413.2,Rpl28-ps3,Rgs2,Def6
Slc34a2,Celf2,Chmp4c,Tsku,Rps10-ps1,Klra4,Plcb4
Tob1,Tgfb2,Chic2,Shcbp1,Rpl17-ps10,Ifitm10,Steap4
Dock9,Nckap5,Klf6,Ros1,AC124744.2,Timp1,Fbp1
Lrp2bp,Shroom4,Bcl10,Hsd17b2,Gm7027,Khdrbs3,Pced1b
Slc24a4,Arhgap35,2610035D17Rik,C330021F23Rik,Gm5805,Mcub,Gm26982
Cftr,Ssh2,Gm10157,Ndufaf1,Gm13436,Ltbp1,Gm5616
Adgrf5,Dennd3,Cars,Lman1l,Rps15a-ps5,Chst11,Mbd1
Retnla,Prep,Bax,Sgo1,Gm15772,Upp1,Cd59a
Lpcat1,AC154734.1,Agap1,Ryr3,Gm6170,Loxl2,Fgl1
Epha7,Arhgef17,Llph-ps2,Dusp9,Gm13611,Sept6,Bik
Abca3,Arid5b,Otud4,Pole,Rps19-ps6,Erc2,5930430L01Rik
Gm15478,Casz1,Prkca,Slc25a45,Rpl5-ps2,Zfhx4,2310015A10Rik
Tmem243,Stard3,AI413582,Cfap52,AC147029.1,Oaf,Dqx1
Cth,Gm10080,Procr,Birc5,Gm13408,Syne3,Gm5900
Prr15l,Flrt3,9930111J21Rik1,Vwa1,Gm12350,Gng11,Fga
Ppp1r10,Epb41l5,Fam83g,Cers3,Gm8430,Rbpms2,Nol3
Arfgef3,Kank2,Ocln,Gtse1,Gm42845,Inhba,Ly6c2
Psmb9,Itgb6,1810013L24Rik,Sema4g,Gm5560,Pkp1,mt-Te
Mob3b,Fermt2,Otud7b,Scel,Rpl18-ps2,Sh3kbp1,Bace2
Egr1,Ager,Actn1,Cenpk,Gm21399,Ggta1,Fam102a
Smarca2,Mcl1,Gtpbp4,Gm44597,Gm7204,Lgr6,Nrbp2
Dnajb4,Wwc1,Nars,Gm3776,Rps25-ps1,Tnc,Lrrc31
Cxcl15,Sptbn1,Pik3c2a,Troap,Rps3a2,Lbh,Entpd2
Tinag,Crip2,Vps37b,Dapk1,Rps10-ps2,Pcdh19,Acp5
Alcam,Cttnbp2nl,Cdkn1a,Cdhr2,Rpl17-ps5,Pla2r1,Arhgdib
Irx3,Slc9a3r2,Med13l,Hmmr,Rps15a-ps7,Lysmd2,Slc46a3
mt-Nd2,S1pr2,Mdm2,Syne1,Gm2225,Col5a3,Pak6
Cecr2,Ddx58,Trp53,Fam49a,Gm5851,Plekho2,Chst13
Scp2,Fam168a,Klc1,Ckap2l,Gm5148,Ackr3,Medag
Pi4k2b,Myh14,Cxadr,Olfr648,AC110377.1,Cdh10,Gm4540
Gm28439,Trim3,Sgpl1,Gm9908,Rps3a3,March4,Khk
Car2,Prkci,Ptrh1,Ccna2,Gm5822,Gli3,Man2a1
mt-Nd6,Snx13,Arid3b,Mccc1,Gm6204,Ltbp2,Mast1
Gpam,Myo1b,Sars,Gsta1,Oaz1-ps,Npy,Zfp810
Npc1,Magi1,Btbd10,Kntc1,Pdcd5-ps,Bdnf,Fam126b
Azin2,Csrp1,2900026A02Rik,Csad,Gm15710,Ccdc88a,Ssx2ip
Lrrk2,Lama3,Galnt3,Pyroxd2,Rpl30-ps10,Dhh,Tmem38a
Birc3,Pmp22,Coq10b,Depdc1a,Rpl19-ps11,Cxxc5,Baiap2l2
Soat1,Cnn2,Fgd6,AC154176.2,Gm14586,Ifi203-ps,Tlr5
Atf3,Clip4,Mafk,Med12l,Rpl17-ps8,Clca3a1,Stk32a
Brd7,Mpp7,Ddit4,Ncapg,Gm6767,Phldb1,Kng2
Insig1,Foxp2,Mier1,5430434F05Rik,Gm15427,Pgf,Gm4613
Acsl4,Gprin3,Tsc22d2,Gm4610,AL607105.1,Flrt2,2810474O19Rik
Spry1,Rassf2,Stam,Cenpe,Rpl21-ps8,Pcdh7,Desi1
Zdhhc3,Rasgef1b,Fdx1l,Rnf135,Wdr89,Klra5,Gm10499
Slc6a20a,Gsap,Hgs,Slc18a1,Rps7,Klra17,Shisa4
mt-Nd4,Traf1,Sbf2,Clspn,Gm7730,Igfbp4,Gjb6
Vnn1,Hspg2,Pdlim5,Phkg2,Gm10288,Wnt5a,Slc17a9
Tmem42,Myo1e,Fam96b,Hecw1,Ftl1-ps1,Stc1,Igfbp6
Tap1,Liph,Itga3,Traip,Rpl17,Sox2,Gm20632
Lbp,Slc44a2,Mpzl3,Sh2b1,Gm11703,Sspn,Pcgf1
Dnajb9,Gprc5a,Wnt7b,Gm43126,AC159818.1,Atp2b4,Spopl
Scd1,Eva1b,Mob3a,Brip1,Rpl11,Slc9a2,Ppp1r21
Lyz1,Thbs3,Atp2b1,Ppfibp2,Gm15501,Plag1,2310030G06Rik
mt-Rnr1,Serpinb6b,Slk,Man1c1,Gm6274,Lingo2,Tgfbr3
Csrnp1,Gm10722,Map2k4,Ticrr,Gm3531,Cpe,Sh3bp1
Dram1,Ptpn14,Ier3,Nr1h3,Rps12,Anks1b,Gpc4
