basal,scBasal,classical,scClassical,EMT
,ANK3,,SEMA4G,VCAN
,AIM2,,AGMO,CCN1
,MSN,,MT-CYB,ECM2
,GJB6,,MT-CO1,APLP1
,ST6GALNAC2,,DHCR24,CDH6
,TMPRSS11E,,KDELR2,COL5A1
,GJB4,,TSPAN1,RGS4
,SPOCK1,,SPINT2,COL12A1
,COL4A1,,B3GNT7,FZD8
,IGHG4,,F5,GAS1
,RCOR1,,STARD10,CD59
,POMGNT1,,SYT13,FSTL3
,COL8A1,,SLC5A1,COL5A3
,COL17A1,,CEACAM1,CTHRC1
,ARL4D,,NAPRT1,PMP22
,RPS8,,CMPK1,DCN
,HCAR2,,ARSE,MEST
,LAMA3,,DUOX2,ABI3BP
,GNA15,,DOK4,CALU
,VIM,,KIAA1211,BDNF
,P4HA2,,LIMA1,LAMA2
,MICALL1,,CLRN3,NID2
,CLCA4,,CGN,THBS2
,EDIL3,,PLA2G16,LUM
,LDHA,,FZD5,MFAP5
,PRNP,,TSTA3,SGCG
,TBC1D2,,MUC5B,EFEMP2
,MCTP1,,VILL,BMP1
,SPRR2A,,MT-ND1,
,MAP7D1,,MMP7,
,CAV2,,SH3BGRL2,
,ANXA8L2,,LACTB2,
,GBP1,,CFI,
,MYOF,,MYO7B,
,DCBLD1,,KCNK5,
,RASAL2,,PFKFB2,
,LRMP,,GATA6,
,MRPS15,,ADAP1,
,SPIRE1,,NOSTRIN,
,AK2,,MT-CO2,
,IVL,,CYP4F3,
,CNN2,,ABCC3,
,SLC16A3,,RABAC1,
,YBX1,,ASS1,
,MTRNR2L8,,CHCHD10,
,KIRREL,,PRR15,
