lowerSpike
Klk12
Cnfn
Sprr2j-ps
Gm3776
Alox12b
Klk13
Sprr2k
Gsta1
Klk14
Trex2
Defb14
Wfdc5
Sprr2h
Dsc2
Gjb2
Krt13
Tgm1
Endou
Nkpd1
Fabp4
Klk10
Sprr1a
Lypd5
Tubb2a
Sptssb
Sprr1b
Spink5
Tmem45b
Tmprss11b
Krt6b
Ephx3
Serpinb1a
Glrx
Pinlyp
Fam57a
Serpinb3a
Gm94
Teddm3
Cysrt1
Tmprss11d
Slpi
Sult2b1
Il1f9
S100a9
Cers3
Elovl4
Mall
Krt16
Bpifc
Tgm3
Shroom3
Klk8
Klk11
Clic3
S100a8
Mal2
Gsta4
Nectin4
Csta1
Ceacam1
Upp1
Tubb2b
Sprr2i
Bicdl2
Dgat2
Grhl3
Crabp2
Klk9
Dsg1b
Nucb2
Zdhhc13
Rbp2
Ly6g6c
Ugcg
Pitx1
Blmh
Tmem40
Tubb3
Elovl1
2610528A11Rik
Cadm4
Lypd3
Slc9a3r1
Krt6a
Tmprss11a
Tmprss11g
Otop3
Rps6ka4
Crct1
Aloxe3
Prss27
Pdlim2
Hsd17b2
Mid1ip1
Ptgr1
4833423E24Rik
Evpl
Degs2
Hbegf
Gsta2
Mvd
Gsto1
Smagp
Cldn17
Aldh3b2
Ly6g6e
Fdps
Scd2
Ppl
Bspry
Elovl7
Pmvk
Duoxa1
Gjb6
Bag2
Sprr2d
Nrarp
Abca12
Kyat1
Hsd17b7
Idi1
Serpinb11
Sdr9c7
Hebp2
Sqle
Metrnl
Mxd1
Cldn4
Fam213b
Tmem125
Psapl1
Slc6a20a
Rhov
Sbsn
Calml3
Msmo1
Pthlh
Fabp5
Plcd1
Por
Fam46b
Krt4
Serpinb12
Slc27a4
Nccrp1
Tmprss4
Dhcr24
Phlda1
Ppard
Ppp1r2
Rbp1
Qpct
Mboat1
Ell2
Abhd17c
Ifi202b
Ggh
Dhrs1
Cidea
Mpzl2
Fdft1
Uchl3
Cd24a
Tmem154
Lgalsl
Twf1
Elf5
G6pdx
AI661453
P4hb
Gdpd1
Rab11a
Mpzl3
Calm4
Sptlc1
Slc5a1
Atp6v1b2
Prr13
Gltp
Ablim1
Wnt4
Cyp51
Mapk6
Gpx2
Tmem79
Tubb6
Krtdap
Fam129b
Gsdmc
Hs3st1
Tuba4a
Chit1
Fam25c
